name,categ,X,Y,Z,color
Осмидроз,Кожные болезни,14.055936,-3.3591452,-1.3612126,#42BE71
Остеодистрофии,Болезни ОДС и травмы,-9.4298725,4.0457716,1.6594121,#30678D
Остеома,Онкологические болезни,-7.080901,3.736882,3.0659287,#482374
Остеомаляция,Болезни ОДС и травмы,-9.604025,3.6268075,1.4039632,#30678D
Остеомиелит,Болезни ОДС и травмы,-7.6841936,-1.141393,4.584905,#30678D
Остеомиелит челюсти,Болезни зубов,-7.871075,0.105845794,6.4305787,#FDE724
Остеопороз,Болезни ОДС и травмы,6.2846017,4.8648767,-12.513312,#30678D
Остеосаркома,Онкологические болезни,-6.089122,5.4367514,2.7855184,#482374
Остеосклероз,Болезни ОДС и травмы,-8.248443,3.8035295,2.0661283,#30678D
Остеохондроз позвоночника,Нервные болезни,-11.782784,2.812886,-4.787109,#440154
Остеохондрома,Онкологические болезни,-6.8674064,3.926492,2.9101014,#482374
Остеохондропатии,Болезни ОДС и травмы,-12.862688,2.691837,0.85719657,#30678D
Остиофолликулит,Кожные болезни,1.1186157,-5.687088,16.649757,#42BE71
Острая алкогольная интоксикация,Наркологические проблемы,-2.1953013,-5.25259,-16.890635,#2D6F8E
Острая диарея,Болезни толстого кишечника,14.556157,-2.646412,0.91307133,#8DD644
Острая дыхательная недостаточность,Болезни органов дыхания,2.02803,1.9834572,-14.111224,#1E988A
Острая задержка мочеиспускания,Урологические болезни,6.91176,8.633536,-1.3755232,#29AF7F
Острая зубная боль,Болезни зубов,-10.678151,1.5320129,14.460088,#FDE724
Острая кровопотеря,Болезни ОДС и травмы,4.832726,-1.4309597,-12.628275,#30678D
Острая окклюзия мезентериальных сосудов,Болезни органов пищеварения,-5.4102154,7.695271,-11.340798,#404387
Острая окклюзия сосудов конечностей,Болезни сердца и сосудов,-4.86562,6.6950016,-10.959865,#267F8E
Острая печеночная недостаточность,Болезни органов пищеварения,12.599742,0.45857412,-7.413601,#404387
Острая пневмония,Болезни органов дыхания,7.418103,-6.762536,1.6607437,#1E988A
