name,categ,X,Y,Z,color
Гемосидероз легких,Иммунные болезни,1.7751906,-7.743687,4.8763056,#1E988A
Гемоторакс,Болезни органов дыхания,-1.856147,-8.998705,2.6321225,#29788E
Гемофагоцитарный лимфогистиоцитоз,Иммунные болезни,2.3819292,-4.1954427,5.5717053,#1E988A
Гемофилия,Детские болезни,1.8077033,-6.7149587,4.5679884,#64CB5D
Гемофтальм,Глазные болезни,6.686329,-1.0584042,5.926315,#462F7C
Гемохромaтоз печени,Болезни органов пищеварения,2.6492467,-14.175949,0.27464843,#267F8E
Гемохроматоз,Ревматические болезни,-3.4700994,-5.4209466,2.2792711,#79D151
Гемохроматоз сердца,Болезни сердца и сосудов,-6.549895,-10.8120365,-2.8934534,#22A784
Генерализованная эпилепсия,Нервные болезни,-0.86310756,-1.3038747,6.260831,#BADE27
Генерализованное тревожное расстройство,Психические расстройства,-5.401155,-4.9864464,7.118498,#29AF7F
Генерализованный пародонтит,Болезни зубов,7.4664025,-10.638826,-1.3334721,#2D6F8E
Генерализованный пустулезный псориаз,Кожные болезни,9.81611,-7.142138,5.8954077,#30678D
Генитальная аллергия,Аллергические болезни,6.377011,-6.644557,9.763316,#345E8D
Генитальный герпес ,Венерические болезни,9.265304,-12.516239,-2.249448,#A5DA35
Генитальный герпес у женщин,Женские болезни,5.998383,-13.036769,-3.9517777,#460C5F
Генитальный туберкулез,Женские болезни,5.2636204,-13.498913,-5.9459076,#460C5F
Гепатит,Болезни органов пищеварения,2.8052723,-13.852696,-0.21792637,#267F8E
Гепатит В у детей,Детские болезни,1.5504463,-5.8710756,5.1828866,#64CB5D
Гепатит С у детей,Детские болезни,2.5142498,-8.013418,2.7883961,#64CB5D
Гепатобластома,Онкологические болезни,-2.5018394,-10.591093,-3.4877083,#D2E11B
Гепатозы,Болезни органов пищеварения,1.9533257,-11.691463,0.80399525,#267F8E
Гепатомегалия,Болезни органов пищеварения,1.7968155,-13.924362,-1.1779325,#267F8E
Гепатоптоз,Болезни органов пищеварения,1.7426174,-14.809857,0.8181485,#267F8E
Гепаторенальный синдром,Болезни органов пищеварения,2.4356034,-13.360847,-1.2039496,#267F8E
Гепатоспленомегалия,Болезни органов пищеварения,1.690519,-14.8977785,-0.25794482,#267F8E
Гепатоцеллюлярная карцинома,Онкологические болезни,-2.7349937,-12.451593,-4.723236,#D2E11B
Герминогенные опухоли,Онкологические болезни,-2.0670545,-12.84981,-4.9614625,#D2E11B
Герминома головного мозга,Нервные болезни,-1.9069688,-0.60203624,5.79208,#BADE27
Героиномания,Наркологические проблемы,-9.193182,-6.8868694,2.989514,#208F8C
Герпес опоясывающий,Кожные болезни,7.6545897,-6.001491,8.462912,#30678D
Герпес простой,Кожные болезни,7.9265385,-10.368824,4.6782227,#30678D
Герпетиформная экзема Капоши,Детские болезни,5.5027695,-7.032334,4.437608,#64CB5D
Герпетиформное импетиго,Кожные болезни,9.404085,-6.718872,5.0980453,#30678D
Герпетиформный дерматит Дюринга,Иммунные болезни,8.352621,-6.121163,8.9772625,#1E988A
Герпетическая ангина у детей,Детские болезни,-2.5160172,-6.5110073,3.4272168,#64CB5D
Герпетическая инфекция,Инфекционные болезни,5.521888,-10.549751,4.420722,#440154
Герпетический стоматит у детей,Детские болезни,1.383105,-6.0498343,3.4519713,#64CB5D
Гестационный диабет ,Женские болезни,4.5886865,-13.277089,-5.8536863,#460C5F
Гестоз,Женские болезни,4.3663554,-12.643454,-5.5398126,#460C5F
Гибернома,Кожные болезни,10.002854,-6.68328,3.920089,#30678D
Гигантизм,Эндокринные болезни,-3.1185215,-7.698069,-3.001188,#8DD644
Гигантская кондилома Бушке-Левенштейна,Венерические болезни,9.241479,-12.919683,-0.8674134,#A5DA35
Гигантский пигментный невус,Кожные болезни,9.974971,-7.150245,5.5187135,#30678D
Гигрома,Болезни ОДС и травмы,-5.3610034,-5.9802036,-0.7897999,#443982
Гидраденит,Кожные болезни,9.818384,-6.336624,6.011306,#30678D
Гидроксиапатитная артропатия,Ревматические болезни,-3.8866293,-3.930828,2.790725,#79D151
Гидронефроз,Урологические болезни,1.2174891,-15.04449,-6.475436,#48196B
Гидропексический синдром,Эндокринные болезни,1.814494,-10.906721,-4.376702,#8DD644
Гидросальпинкс,Женские болезни,4.669002,-12.138535,-5.125559,#460C5F
Гидроцефалия,Нервные болезни,-1.8687887,-2.4809198,3.3053577,#BADE27
Гидроцефалия у детей,Детские болезни,1.3321588,-5.4603024,4.4472046,#64CB5D
Гименолепидоз,Инфекционные болезни,5.032652,-10.04804,4.016119,#440154
Гингивит,Болезни зубов,7.868529,-7.5130205,1.1885661,#2D6F8E
Гингивит у детей,Детские болезни,2.6617422,-5.7249146,2.4195993,#64CB5D
Гинекомастия,Эндокринные болезни,-0.9477745,-7.2984257,-3.3277848,#8DD644
Гиперактивный ребенок,Детские болезни,1.4216673,-6.3959303,3.2931714,#64CB5D
Гиперальдостеронизм,Эндокринные болезни,-2.559213,-7.654301,-3.5464633,#8DD644
Гиперандрогения у женщин,Женские болезни,4.65008,-13.449216,-5.137785,#460C5F
Гиперантефлексия матки,Женские болезни,5.2522354,-12.716446,-5.2226295,#460C5F
Гипервентиляционный синдром,Нервные болезни,-1.3334353,-2.2779033,8.835859,#BADE27
Гипервитаминоз D,Детские болезни,-0.86235046,-9.133159,0.058125265,#64CB5D
Гипергидроз. Повышенная потливость.,Косметические проблемы,13.824287,-7.7125106,6.7057943,#1E9F88
Гиперестезия зубов,Болезни зубов,8.1598215,-8.544161,0.21010031,#2D6F8E
Гиперинсулинизм,Эндокринные болезни,-2.5023863,-8.442722,-1.45624,#8DD644
